system:index,LST,NDVI,Risk,latitude,longitude,.geo
8637,39.672280580000006,0.04603806883096695,0.4283247841865853,40.74220556119272,-73.98348666130461,"{""type"":""Point"",""coordinates"":[-73.98348666130461,40.74220556119272]}"
8638,24.812438630000003,-0.06837031990289688,0.16394204236757418,40.776886199434095,-74.0054805634132,"{""type"":""Point"",""coordinates"":[-74.0054805634132,40.776886199434095]}"
8639,34.25300987000003,0.2685292959213257,0.05959110272624346,40.77929482777281,-73.91072694610584,"{""type"":""Point"",""coordinates"":[-73.91072694610584,40.77929482777281]}"
8640,31.24344326000005,0.5387609601020813,-0.2963522555126128,40.816913413100764,-74.02256375654066,"{""type"":""Point"",""coordinates"":[-74.02256375654066,40.816913413100764]}"
8641,28.994386100000014,0.37080132961273193,-0.1811047836498404,40.869134289721906,-73.9836747964939,"{""type"":""Point"",""coordinates"":[-73.9836747964939,40.869134289721906]}"
8642,23.02310516000003,0.023030303418636322,0.023705167589514076,40.87215124715026,-73.9934986818264,"{""type"":""Point"",""coordinates"":[-73.9934986818264,40.87215124715026]}"
8643,41.75214575000001,0.13464657962322235,0.39050835822217006,40.721538790803685,-73.98665318974378,"{""type"":""Point"",""coordinates"":[-73.98665318974378,40.721538790803685]}"
8644,38.5990223,0.08629893511533737,0.35921793467844293,40.71579755042579,-73.92202470646926,"{""type"":""Point"",""coordinates"":[-73.92202470646926,40.71579755042579]}"
8645,35.47495202000002,0.37331879138946533,-0.016974134819206177,40.76327835302561,-73.9642477356759,"{""type"":""Point"",""coordinates"":[-73.9642477356759,40.76327835302561]}"
8646,37.51892798000003,0.029678817838430405,0.3897863459611803,40.81871989809497,-73.98901053419993,"{""type"":""Point"",""coordinates"":[-73.98901053419993,40.81871989809497]}"
8647,29.68824416000004,0.49615028500556946,-0.2924457875056683,40.791039771727114,-73.95528524156693,"{""type"":""Point"",""coordinates"":[-73.95528524156693,40.791039771727114]}"
8648,42.64083095000001,0.1978452503681183,0.3482353345164195,40.70279030600725,-73.98240211120904,"{""type"":""Point"",""coordinates"":[-73.98240211120904,40.70279030600725]}"
8649,18.02083289000001,-0.07546424120664597,-0.0034739536756151768,40.811886725534535,-73.97564869911739,"{""type"":""Point"",""coordinates"":[-73.97564869911739,40.811886725534535]}"
8650,37.47449372,0.013058129698038101,0.4057734274786524,40.80279479617755,-73.9920573587342,"{""type"":""Point"",""coordinates"":[-73.9920573587342,40.80279479617755]}"
8651,35.16049418000003,0.10911136120557785,0.24724324084112298,40.83690498906887,-73.9711949106696,"{""type"":""Point"",""coordinates"":[-73.9711949106696,40.83690498906887]}"
8652,31.405799209999998,0.035327233374118805,0.22669251539064805,40.850188774055724,-73.91665789761217,"{""type"":""Point"",""coordinates"":[-73.91665789761217,40.850188774055724]}"
8653,39.57144899000002,0.13632740080356598,0.33267329852962696,40.73916669769957,-73.9276240547052,"{""type"":""Point"",""coordinates"":[-73.9276240547052,40.73916669769957]}"
8654,29.989029920000036,0.5459190607070923,-0.3360020546191055,40.79314683139142,-73.91571444297495,"{""type"":""Point"",""coordinates"":[-73.91571444297495,40.79314683139142]}"
8655,24.653500700000023,-0.07070706784725189,0.16226143911817226,40.75392079267083,-74.01835521309944,"{""type"":""Point"",""coordinates"":[-74.01835521309944,40.75392079267083]}"
8656,35.47495201999999,0.0335526317358017,0.33320847263187064,40.772396259880175,-73.94949316800533,"{""type"":""Point"",""coordinates"":[-73.94949316800533,40.772396259880175]}"
8657,21.845597270000013,-0.05991110950708389,0.0788956693444956,40.83405778598916,-73.93453341107276,"{""type"":""Point"",""coordinates"":[-73.93453341107276,40.83405778598916]}"
8658,27.228978770000026,0.5690761208534241,-0.43087679519141997,40.77608903231133,-73.96619481372132,"{""type"":""Point"",""coordinates"":[-73.96619481372132,40.77608903231133]}"
8659,40.81048124000003,-0.005609573796391487,0.5108382726837941,40.745667997622995,-73.93896229772254,"{""type"":""Point"",""coordinates"":[-73.93896229772254,40.745667997622995]}"
8660,17.424388399999998,-0.07170131802558899,-0.02269694570960723,40.857014662844726,-73.95454577874213,"{""type"":""Point"",""coordinates"":[-73.95454577874213,40.857014662844726]}"
8661,43.538061200000016,0.016173072159290314,0.5585601741279174,40.70275093707797,-73.96585980518537,"{""type"":""Point"",""coordinates"":[-73.96585980518537,40.70275093707797]}"
8662,29.29004483,0.29710742831230164,-0.09754519540243228,40.83460593943325,-73.99469351933554,"{""type"":""Point"",""coordinates"":[-73.99469351933554,40.83460593943325]}"
8663,40.14567635,0.024381687864661217,0.4628241361367832,40.70067605512934,-73.97455164492514,"{""type"":""Point"",""coordinates"":[-73.97455164492514,40.70067605512934]}"
8664,32.260304210000015,0.5529922842979431,-0.2848591336350337,40.790623689751335,-74.02602970229096,"{""type"":""Point"",""coordinates"":[-74.02602970229096,40.790623689751335]}"
8665,25.020937850000053,-0.06652283668518066,0.16740197162780107,40.7850782791877,-73.99871162800687,"{""type"":""Point"",""coordinates"":[-73.99871162800687,40.7850782791877]}"
8666,40.41569993000002,0.05265069007873535,0.4406353585240909,40.780623200062564,-74.02897583502987,"{""type"":""Point"",""coordinates"":[-74.02897583502987,40.780623200062564]}"
8667,39.03994688,0.02376425825059414,0.4350134317588969,40.73786722989307,-73.97409023889885,"{""type"":""Point"",""coordinates"":[-73.97409023889885,40.73786722989307]}"
8668,33.30621833000001,0.25312238931655884,0.05111227713875022,40.830501109142595,-74.00839039823643,"{""type"":""Point"",""coordinates"":[-74.00839039823643,40.830501109142595]}"
8669,31.028108000000003,0.6093723177909851,-0.37466831739065865,40.81577774823379,-73.98348443523365,"{""type"":""Point"",""coordinates"":[-73.98348443523365,40.81577774823379]}"
8670,29.98561189999998,0.22094318270683289,-0.0011511000668765758,40.868293255851434,-74.02226807084249,"{""type"":""Point"",""coordinates"":[-74.02226807084249,40.868293255851434]}"
8671,24.844909819999998,-0.06846153736114502,0.16487144149949584,40.77622876372021,-73.99369222499101,"{""type"":""Point"",""coordinates"":[-73.99369222499101,40.77622876372021]}"
8672,19.955432210000026,-0.04846640303730965,0.01847188489974258,40.85498140583118,-73.9420631831441,"{""type"":""Point"",""coordinates"":[-73.9420631831441,40.85498140583118]}"
8673,38.79043142000003,0.1505088359117508,0.2979638818918086,40.74663299884676,-73.98046911624618,"{""type"":""Point"",""coordinates"":[-73.98046911624618,40.74663299884676]}"
8674,15.546186410000018,-0.06488360464572906,-0.07804411063595257,40.86771789376208,-73.94080678260048,"{""type"":""Point"",""coordinates"":[-73.94080678260048,40.86771789376208]}"
8675,26.56930090999998,0.5279659628868103,-0.40547780344895085,40.86272498074072,-73.93090786052578,"{""type"":""Point"",""coordinates"":[-73.93090786052578,40.86272498074072]}"
8676,44.14988678000003,0.027550825849175453,0.5625740197732845,40.72382848357903,-73.9309987233872,"{""type"":""Point"",""coordinates"":[-73.9309987233872,40.72382848357903]}"
8677,35.22201854000002,0.10601941496133804,0.2520128140682717,40.77428297967654,-73.91015309648427,"{""type"":""Point"",""coordinates"":[-73.91015309648427,40.77428297967654]}"
8678,30.489769850000016,0.35261043906211853,-0.12388451745803664,40.83207703664965,-73.98003353561687,"{""type"":""Point"",""coordinates"":[-73.98003353561687,40.83207703664965]}"
8679,12.029043830000035,-0.052356019616127014,-0.18144116530862112,40.8420551996876,-73.94871150093064,"{""type"":""Point"",""coordinates"":[-73.94871150093064,40.8420551996876]}"
8680,39.30313442000002,0.05293072760105133,0.41172380217548366,40.78570873614055,-74.00656595888353,"{""type"":""Point"",""coordinates"":[-74.00656595888353,40.78570873614055]}"
8681,31.081087310000044,0.6139772534370422,-0.3780514329217395,40.84440290293744,-73.96873085579628,"{""type"":""Point"",""coordinates"":[-73.96873085579628,40.84440290293744]}"
8682,19.6802816,-0.058027077466249466,0.021246877572932255,40.788695416018015,-73.91571167332813,"{""type"":""Point"",""coordinates"":[-73.91571167332813,40.788695416018015]}"
8683,40.16618447000002,0.0166420117020607,0.4713287046198489,40.73603057139383,-73.95014447232636,"{""type"":""Point"",""coordinates"":[-73.95014447232636,40.73603057139383]}"
8684,24.73382416999999,-0.06511085480451584,0.15856013814592768,40.71450497887099,-73.97156788024165,"{""type"":""Point"",""coordinates"":[-73.97156788024165,40.71450497887099]}"
